,account_id,customer_id,account_type,balance,status_type
0,15350,58758,Savings Account,181.0,Active
1,38358,60077,Savings Account,1.0,Limited/Restricted
2,34743,60077,Trust Account,35918420.0,Defaulted
3,46889,60077,Certificate of Deposit (CD),6453219.0,Limited/Restricted
4,40656,13967,Certificate of Deposit (CD),251.0,Blocked/Frozen
5,43542,13967,Savings Account,6314837.0,Inactive/Dormant
6,62919,13967,Certificate of Deposit (CD),71.0,Limited/Restricted
7,26648,56214,Savings Account,71351437.0,Closed
8,14270,44596,Business Account,22.0,Closed
9,39084,28661,Certificate of Deposit (CD),891.0,Limited/Restricted
10,46713,28661,Savings Account,8.0,Defaulted
11,59150,14161,Business Account,547770738.0,Blocked/Frozen
12,39699,14161,Certificate of Deposit (CD),72698.0,Defaulted
13,28036,44657,Savings Account,35622.0,Closed
14,59184,44657,Individual Retirement Account (IRA),2111836.0,Closed
15,1616,20713,Custodial Account,32089.0,Inactive/Dormant
16,59776,16244,Business Account,73871.0,Defaulted
17,31753,32522,Checking/Current Account,66307.0,Closed
18,54440,32522,Business Account,94.0,Inactive/Dormant
19,58495,50689,Savings Account,490595941.0,Limited/Restricted
20,34441,58417,Trust Account,4.0,Inactive/Dormant
21,48692,58417,Checking/Current Account,8300.0,Active
22,22794,21398,Business Account,389541.0,Closed
23,44058,39624,Trust Account,4.0,Defaulted
24,48681,39624,Business Account,6798358.0,Blocked/Frozen
25,16811,39624,Savings Account,98480352.0,Limited/Restricted
26,29151,57662,Trust Account,6.0,Closed
27,5435,57662,Savings Account,61.0,Limited/Restricted
28,63377,1375,Savings Account,100841.0,Closed
29,31202,1375,Checking/Current Account,60.0,Blocked/Frozen
30,28278,24859,Checking/Current Account,256604.0,Closed
31,39763,41614,Trust Account,1429214.0,Closed
32,52668,39085,Business Account,50863.0,Blocked/Frozen
33,54613,39085,Individual Retirement Account (IRA),567309.0,Blocked/Frozen
34,3606,42650,Certificate of Deposit (CD),9612.0,Blocked/Frozen
35,49329,42650,Savings Account,39.0,Inactive/Dormant
36,6075,42650,Custodial Account,58.0,Defaulted
37,18965,42650,Savings Account,678358.0,Inactive/Dormant
38,50796,61081,Savings Account,9224167.0,Active
39,1061,5699,Certificate of Deposit (CD),228965.0,Active
40,12798,10611,Custodial Account,184.0,Inactive/Dormant
41,10612,34809,Custodial Account,996644249.0,Blocked/Frozen
42,64034,34809,Savings Account,6685998.0,Defaulted
43,31655,7916,Business Account,20976671.0,Closed
44,52479,7916,Certificate of Deposit (CD),310.0,Defaulted
45,21923,7916,Savings Account,23794.0,Blocked/Frozen
46,12701,1784,Certificate of Deposit (CD),8216903.0,Active
47,34860,1784,Business Account,63126715.0,Active
48,46992,1784,Business Account,7.0,Defaulted
49,25700,4228,Business Account,936.0,Closed
50,33020,4228,Custodial Account,44701.0,Blocked/Frozen
51,7004,4228,Individual Retirement Account (IRA),182102674.0,Limited/Restricted
52,39757,61260,Checking/Current Account,652453397.0,Defaulted
53,64907,61260,Trust Account,2197898.0,Closed
54,40473,61260,Individual Retirement Account (IRA),4028110.0,Blocked/Frozen
55,64761,1518,Custodial Account,9.0,Limited/Restricted
56,60121,58134,Business Account,8269.0,Closed
57,59575,27452,Certificate of Deposit (CD),128194.0,Inactive/Dormant
58,45556,27452,Certificate of Deposit (CD),700026602.0,Inactive/Dormant
59,38906,24439,Custodial Account,539472908.0,Active
60,65239,24439,Savings Account,8.0,Inactive/Dormant
61,54177,18457,Individual Retirement Account (IRA),4165832.0,Blocked/Frozen
62,51646,18457,Trust Account,678216361.0,Defaulted
63,380,57115,Business Account,3333115.0,Closed
64,58369,60185,Savings Account,78.0,Inactive/Dormant
65,46374,35230,Trust Account,8166.0,Active
66,27621,35230,Certificate of Deposit (CD),33.0,Active
67,10615,7782,Trust Account,76.0,Active
68,55037,7782,Custodial Account,629225561.0,Active
69,20505,7782,Trust Account,9446432.0,Closed
70,27804,7782,Individual Retirement Account (IRA),73.0,Active
71,18959,63354,Trust Account,74680.0,Limited/Restricted
72,33851,63354,Custodial Account,86143.0,Defaulted
73,38679,63354,Checking/Current Account,30889189.0,Blocked/Frozen
74,42542,63354,Custodial Account,147526.0,Limited/Restricted
75,43565,38785,Certificate of Deposit (CD),607512420.0,Limited/Restricted
76,58721,38785,Trust Account,195.0,Inactive/Dormant
77,10037,38785,Individual Retirement Account (IRA),46.0,Limited/Restricted
78,23705,44401,Checking/Current Account,5.0,Limited/Restricted
79,60933,44401,Checking/Current Account,74.0,Blocked/Frozen
80,49497,44401,Savings Account,3188.0,Active
81,30845,49682,Individual Retirement Account (IRA),0.0,Active
82,30818,49682,Business Account,69257001.0,Closed
83,3709,35289,Trust Account,6650.0,Active
84,20621,35289,Savings Account,46932801.0,Blocked/Frozen
85,51863,28103,Checking/Current Account,4802.0,Inactive/Dormant
86,11858,28103,Custodial Account,4082.0,Active
87,31695,9514,Checking/Current Account,617469.0,Inactive/Dormant
88,64091,9514,Custodial Account,396312.0,Limited/Restricted
89,4332,17728,Custodial Account,90696994.0,Closed
90,8511,17728,Trust Account,6.0,Blocked/Frozen
91,6034,35106,Custodial Account,52.0,Closed
92,39463,47833,Trust Account,609548.0,Defaulted
93,63404,15199,Business Account,517.0,Closed
94,65436,15199,Trust Account,5510.0,Limited/Restricted
95,17877,15199,Savings Account,5779.0,Blocked/Frozen
96,25731,15199,Individual Retirement Account (IRA),12179.0,Closed
97,60832,28312,Trust Account,1479.0,Inactive/Dormant
98,37545,28312,Certificate of Deposit (CD),9371.0,Active
99,28739,11103,Savings Account,8991.0,Inactive/Dormant
100,30389,11103,Savings Account,328652765.0,Inactive/Dormant
101,16822,29757,Certificate of Deposit (CD),53160.0,Closed
102,3011,29757,Trust Account,6175880.0,Limited/Restricted
103,30438,29757,Certificate of Deposit (CD),385.0,Blocked/Frozen
104,40962,29757,Business Account,95524.0,Closed
105,57650,10470,Savings Account,6506.0,Defaulted
106,3268,10470,Individual Retirement Account (IRA),80080.0,Inactive/Dormant
107,10240,10470,Checking/Current Account,334.0,Inactive/Dormant
108,16106,55749,Certificate of Deposit (CD),44.0,Defaulted
109,65048,7723,Custodial Account,2323.0,Blocked/Frozen
110,35883,7723,Savings Account,88.0,Blocked/Frozen
111,301,26355,Individual Retirement Account (IRA),731729440.0,Active
112,26833,26355,Certificate of Deposit (CD),927621.0,Active
113,47493,78,Certificate of Deposit (CD),69574.0,Closed
114,20113,9622,Savings Account,715092.0,Closed
115,42146,9622,Savings Account,5397477.0,Closed
116,19659,9622,Checking/Current Account,81918401.0,Inactive/Dormant
117,12579,9622,Individual Retirement Account (IRA),78391.0,Active
118,52853,12190,Savings Account,25610.0,Blocked/Frozen
119,44320,12190,Checking/Current Account,47967.0,Defaulted
120,20617,803,Custodial Account,32.0,Limited/Restricted
121,18335,23718,Individual Retirement Account (IRA),950747.0,Limited/Restricted
122,13171,23718,Checking/Current Account,6108.0,Active
123,10791,40839,Checking/Current Account,45754583.0,Blocked/Frozen
124,24036,40839,Trust Account,0.0,Blocked/Frozen
125,48518,40839,Custodial Account,5398.0,Limited/Restricted
126,17421,52884,Certificate of Deposit (CD),167.0,Blocked/Frozen
127,3976,55342,Individual Retirement Account (IRA),9760.0,Limited/Restricted
128,63534,6989,Checking/Current Account,1.0,Defaulted
129,26381,6989,Trust Account,7758.0,Active
130,24187,9522,Savings Account,488726.0,Closed
131,36895,9522,Certificate of Deposit (CD),0.0,Closed
132,15086,9522,Checking/Current Account,3740.0,Inactive/Dormant
133,50689,9522,Certificate of Deposit (CD),1205386.0,Blocked/Frozen
134,44894,37982,Custodial Account,31822395.0,Closed
135,21816,14772,Custodial Account,2888.0,Limited/Restricted
136,11717,14772,Checking/Current Account,67.0,Active
137,58653,14772,Certificate of Deposit (CD),26.0,Limited/Restricted
138,26698,5454,Savings Account,57919.0,Limited/Restricted
139,54232,5454,Checking/Current Account,1846620.0,Limited/Restricted
140,48956,30997,Individual Retirement Account (IRA),97472.0,Blocked/Frozen
141,59064,30997,Individual Retirement Account (IRA),661124.0,Closed
142,30700,28864,Trust Account,9103.0,Limited/Restricted
143,64594,28864,Certificate of Deposit (CD),606401730.0,Limited/Restricted
144,10519,28864,Business Account,8462.0,Blocked/Frozen
145,60910,28864,Trust Account,6689842.0,Closed
146,58631,8886,Savings Account,6.0,Blocked/Frozen
147,57297,22314,Trust Account,609.0,Active
148,46768,22314,Checking/Current Account,910732.0,Limited/Restricted
149,4566,22314,Individual Retirement Account (IRA),2.0,Active
150,22337,51280,Trust Account,9.0,Blocked/Frozen
151,55013,51280,Individual Retirement Account (IRA),882.0,Closed
152,50336,51280,Certificate of Deposit (CD),46.0,Limited/Restricted
153,7479,40438,Checking/Current Account,8537.0,Inactive/Dormant
154,10742,40438,Business Account,76632.0,Closed
155,19087,40438,Trust Account,6.0,Closed
156,40049,7965,Savings Account,8840.0,Active
157,6570,9363,Certificate of Deposit (CD),32.0,Closed
158,21943,9363,Checking/Current Account,23.0,Defaulted
159,54289,9363,Checking/Current Account,285.0,Active
160,35965,9363,Savings Account,7.0,Blocked/Frozen
161,59036,1513,Custodial Account,32146.0,Limited/Restricted
162,45902,1513,Trust Account,769748.0,Closed
163,47965,1513,Savings Account,394.0,Closed
164,2574,10445,Checking/Current Account,66275.0,Closed
165,41226,10445,Certificate of Deposit (CD),10.0,Closed
166,20496,10445,Certificate of Deposit (CD),77.0,Inactive/Dormant
167,15139,38894,Savings Account,6.0,Closed
168,11924,38894,Trust Account,836000587.0,Blocked/Frozen
169,46058,38894,Certificate of Deposit (CD),756.0,Closed
170,31055,10308,Individual Retirement Account (IRA),74.0,Active
171,31469,10308,Savings Account,8824378.0,Blocked/Frozen
172,39312,10308,Business Account,55424.0,Defaulted
173,56487,10308,Individual Retirement Account (IRA),7062.0,Active
174,35487,10308,Business Account,0.0,Limited/Restricted
175,39907,36760,Custodial Account,442.0,Blocked/Frozen
176,62240,58484,Checking/Current Account,4304.0,Blocked/Frozen
177,35403,58484,Business Account,58609.0,Closed
178,6999,58484,Business Account,134.0,Active
179,53123,58484,Checking/Current Account,328948.0,Blocked/Frozen
180,27395,6274,Checking/Current Account,4.0,Blocked/Frozen
181,18062,6274,Trust Account,4.0,Active
182,22160,6274,Custodial Account,161975.0,Closed
183,49651,6274,Individual Retirement Account (IRA),1134063.0,Blocked/Frozen
184,11007,3314,Savings Account,8294.0,Inactive/Dormant
185,35776,3314,Individual Retirement Account (IRA),2.0,Defaulted
186,3914,3314,Individual Retirement Account (IRA),433394784.0,Blocked/Frozen
187,59308,3314,Business Account,303.0,Blocked/Frozen
188,14354,48338,Business Account,855993184.0,Closed
189,31274,48338,Individual Retirement Account (IRA),3.0,Limited/Restricted
190,45553,48338,Certificate of Deposit (CD),43633.0,Blocked/Frozen
191,25011,41850,Checking/Current Account,3298.0,Blocked/Frozen
192,43288,41850,Business Account,43.0,Defaulted
193,21418,41850,Checking/Current Account,773415991.0,Closed
194,65028,46177,Checking/Current Account,623279353.0,Closed
195,18847,14279,Trust Account,735.0,Active
196,18453,9606,Savings Account,72.0,Blocked/Frozen
197,59785,48046,Custodial Account,6001.0,Defaulted
198,4595,48046,Certificate of Deposit (CD),605.0,Active
199,17996,48046,Savings Account,4.0,Limited/Restricted
200,26802,19893,Checking/Current Account,3371910.0,Limited/Restricted
201,21437,61736,Certificate of Deposit (CD),915061.0,Closed
202,63668,38387,Savings Account,3145374.0,Closed
203,19214,24844,Custodial Account,1364.0,Defaulted
204,49719,11677,Trust Account,7.0,Active
205,62086,17576,Individual Retirement Account (IRA),56599120.0,Defaulted
206,62784,17576,Certificate of Deposit (CD),65599.0,Defaulted
207,31217,56089,Trust Account,205195.0,Inactive/Dormant
208,8787,56089,Certificate of Deposit (CD),4.0,Blocked/Frozen
209,37999,56089,Savings Account,1503123.0,Limited/Restricted
210,56444,49686,Certificate of Deposit (CD),13.0,Limited/Restricted
211,12671,49686,Savings Account,3211029.0,Active
212,27926,49686,Savings Account,6052.0,Inactive/Dormant
213,22849,46124,Checking/Current Account,91.0,Defaulted
214,65418,46124,Trust Account,0.0,Blocked/Frozen
215,21406,46124,Business Account,38681.0,Closed
216,55280,18928,Checking/Current Account,4349.0,Inactive/Dormant
217,20179,18928,Trust Account,149323.0,Closed
218,30650,18928,Trust Account,71.0,Limited/Restricted
219,38457,30993,Individual Retirement Account (IRA),752.0,Defaulted
220,11356,30993,Certificate of Deposit (CD),8606920.0,Active
221,33740,40681,Savings Account,79.0,Closed
222,11378,40681,Trust Account,587797381.0,Inactive/Dormant
223,40640,56922,Custodial Account,36.0,Active
224,7680,62754,Certificate of Deposit (CD),13283.0,Defaulted
225,29500,52739,Individual Retirement Account (IRA),7315442.0,Blocked/Frozen
226,45364,52739,Certificate of Deposit (CD),62649.0,Defaulted
227,11193,52739,Individual Retirement Account (IRA),5484.0,Blocked/Frozen
228,33923,52739,Checking/Current Account,74.0,Active
229,17000,55845,Checking/Current Account,5458842.0,Defaulted
230,56479,41620,Business Account,15663760.0,Closed
231,1601,41620,Trust Account,2.0,Blocked/Frozen
232,6922,49424,Savings Account,3.0,Blocked/Frozen
233,38821,49424,Custodial Account,371234.0,Defaulted
234,61146,8335,Savings Account,24.0,Active
235,53307,8335,Trust Account,51.0,Defaulted
236,60442,31329,Trust Account,1369.0,Blocked/Frozen
237,49227,2245,Savings Account,17818.0,Limited/Restricted
238,31501,2245,Checking/Current Account,96323003.0,Limited/Restricted
239,61906,59003,Individual Retirement Account (IRA),391262.0,Blocked/Frozen
240,37708,1163,Checking/Current Account,13.0,Blocked/Frozen
241,18975,1163,Trust Account,9789.0,Defaulted
242,43190,36634,Checking/Current Account,7.0,Inactive/Dormant
243,62087,28849,Certificate of Deposit (CD),9.0,Limited/Restricted
244,1659,28849,Individual Retirement Account (IRA),42.0,Limited/Restricted
245,3431,59585,Checking/Current Account,82066982.0,Defaulted
246,52143,59585,Individual Retirement Account (IRA),339.0,Inactive/Dormant
247,52508,59585,Savings Account,299.0,Active
248,24153,59585,Custodial Account,71.0,Active
249,9834,56498,Checking/Current Account,2184167.0,Limited/Restricted
250,49711,56498,Savings Account,886.0,Closed
251,46771,56498,Checking/Current Account,183026769.0,Blocked/Frozen
252,33306,57071,Checking/Current Account,749405748.0,Blocked/Frozen
253,12607,57071,Custodial Account,81.0,Inactive/Dormant
254,17346,36371,Custodial Account,14807.0,Blocked/Frozen
255,32620,36371,Individual Retirement Account (IRA),2065.0,Active
256,65078,36371,Individual Retirement Account (IRA),567176.0,Limited/Restricted
257,47706,30762,Checking/Current Account,93.0,Defaulted
258,23498,30762,Individual Retirement Account (IRA),826684771.0,Active
259,15658,30762,Custodial Account,39520465.0,Limited/Restricted
260,42049,59661,Trust Account,5854075.0,Active
261,60193,59661,Business Account,8.0,Closed
262,56522,29467,Business Account,94392587.0,Blocked/Frozen
263,11089,29467,Trust Account,8928209.0,Inactive/Dormant
264,37620,25578,Custodial Account,893.0,Closed
265,29881,25578,Custodial Account,33664274.0,Active
266,18676,14956,Savings Account,95567.0,Closed
267,50024,14956,Individual Retirement Account (IRA),392465749.0,Closed
268,21643,30100,Checking/Current Account,551877.0,Defaulted
